;;;85,20%;14,80%;0,00%;66,00%;34,00%;0,00%;51,80%;48,20%;0,00%;49,00%;51,00%;0,00%
;;;84,20%;15,80%;0,00%;60,70%;39,30%;0,00%;51,20%;48,80%;0,00%;48,80%;51,20%;0,00%
;;;85,40%;14,60%;0,00%;64,10%;35,90%;0,00%;51,90%;48,10%;0,00%;50,20%;49,80%;0,00%
;;;83,80%;16,10%;0,00%;61,20%;38,80%;0,00%;53,30%;46,70%;0,00%;51,70%;48,30%;0,00%
;;;85,35%;14,63%;0,00%;62,52%;37,48%;0,00%;51,20%;48,80%;0,00%;50,22%;49,78%;0,00%
Classify the text into negative or positive. Here you have some examples:;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Example: (prompt).;;;;;;;;;;;;;;
Sentiment: positive;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Text: (prompt).;;;;;;;;;;;;;;
Sentiment:;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PROMPT 2;;;;;;;;;;;;;;
Help = 0;;;Help = 1;;;Help = 2;;;Help = 3;;;Help = 4;;
Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment
96,60%;3,40%;0,00%;85,30%;14,70%;0,00%;61,80%;38,20%;0,00%;49,70%;50,30%;0,00%;49,90%;50,10%;0,00%
;;;84,10%;15,90%;0,00%;64,30%;35,60%;0,10%;48,30%;51,70%;0,00%;49,20%;50,80%;0%
;;;86,10%;13,90%;0,00%;60,80%;39,20%;0,00%;51,40%;48,60%;0,00%;49,50%;50,50%;0,00%
;;;84,40%;15,60%;0,00%;63,00%;37,00%;0,00%;51,30%;48,70%;0,00%;50,70%;49,30%;0,00%
;;;85,50%;14,50%;0,00%;62,50%;37,50%;0,00%;52,70%;47,30%;0,00%;48,00%;52,00%;0,00%
;;;85,60%;14,40%;0,00%;63,70%;36,30%;0,00%;48,50%;51,50%;0,00%;51,90%;48,10%;0,00%
;;;85,17%;14,83%;0,00%;62,68%;37,30%;0,02%;50,32%;49,68%;0,00%;49,87%;50,13%;0,00%
Classify the text into negative or positive. Here you have some examples:;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Text: (prompt).;;;;;;;;;;;;;;
Sentiment: positive;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Text: (prompt).;;;;;;;;;;;;;;
Sentiment:;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PROMPT 3;;;;;;;;;;;;;;
Help = 0;;;Help = 1;;;Help = 2;;;Help = 3;;;Help = 4;;
Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment
96,50%;3,50%;0,00%;84,20%;15,80%;0,00%;58,30%;41,70%;0,00%;49,40%;50,40%;0,20%;50,00%;49,90%;0,10%
;;;82,10%;17,90%;0,00%;57,70%;42,20%;0,10%;53,60%;46,40%;0,00%;51,80%;48,00%;0,20%
;;;83,50%;16,50%;0,00%;58,20%;41,80%;0,00%;50,60%;42,20%;0,20%;48,80%;51,20%;0,00%
;;;81,10%;18,70%;0,20%;57,70%;42,30%;0,00%;50,60%;49,20%;0,20%;48,90%;51,10%;0,00%
;;;81,70%;18,30%;0,00%;58,50%;41,50%;0,00%;50,70%;49,20%;0,10%;46,80%;53,00%;0,20%
;;;85,10%;14,90%;0,00%;56,60%;43,20%;0,20%;49,40%;50,60%;0,00%;50,00%;49,90%;0,10%
;;;82,95%;17,02%;0,03%;57,83%;42,12%;0,05%;50,72%;48,00%;0,12%;49,38%;50,52%;0,10%
Classify the Sentiment of the TEXT. You can only choose between NEGATIVE or POSITIVE. Here you have some examples:;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TEXT: (prompt).;;;;;;;;;;;;;;
SENTIMENT: POSITIVE;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TEXT: (prompt).;;;;;;;;;;;;;;
SENTIMENT:;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PROMPT 4;;;;;;;;;;;;;;
Help = 0;;;Help = 1;;;Help = 2;;;Help = 3;;;Help = 4;;
Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment
96,50%;3,50%;0,00%;84,40%;15,60%;0,00%;60,00%;49,60%;0,40%;51,00%;48,90%;0,10%;50,40%;49,50%;0,10%
;;;83,80%;16,10%;0,10%;62,50%;37,30%;0,20%;48,90%;50,90%;0,20%;50,20%;49,60%;0,20%
;;;83,00%;16,80%;0,20%;59,00%;40,90%;0,10%;54,30%;45,60%;0,10%;53,30%;46,70%;0,00%
;;;83,50%;16,50%;0,00%;62,30%;37,50%;0,20%;50,50%;49,50%;0,00%;49,50%;50,30%;0,20%
;;;85,00%;15,00%;0,00%;57,50%;42,50%;0,00%;52,30%;47,70%;0,00%;50,20%;49,50%;0,30%
;;;84,70%;15,30%;0,00%;62,20%;37,80%;0,00%;48,20%;51,70%;0,10%;50,70%;49,30%;0,00%
;;;84,07%;15,88%;0,05%;60,58%;40,93%;0,15%;50,87%;49,05%;0,08%;50,72%;49,15%;0,13%
Classify the sentiment of the text. you can only choose between NEGATIVE or POSITIVE. Here you have some examples:;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TEXT: (prompt).;;;;;;;;;;;;;;
Sentiment: POSITIVE;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Text: (prompt).;;;;;;;;;;;;;;
Sentiment:;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Help;Prompt 1;Prompt 2;Prompt 3;Prompt 4;;;;;;;;;;
Help = 0;96,60%;96,60%;96,50%;96,50%;;;;;;;;;;
Help = 1;85,35%;85,17%;82,95%;84,07%;;;;;;;;;;
Help = 2;62,52%;62,68%;57,83%;60,58%;;;;;;;;;;
Help = 3;51,20%;50,32%;50,72%;50,87%;;;;;;;;;;
Help = 4;50,22%;49,87%;49,38%;50,72%;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;Test on simple prompt;;Text: prompt. Sentiment: positive;;;;;;;;
;;;;;;Text: prompt. Sentiment:;;;;;;;;
;Accuracy: 73.7%;;Spaced lower help 1;;Accuracy: 72.0%;;Not Spaced lower help 1;;;;;;;
;Wrong percent: 4.7%;;;;Wrong percent: 3.9%;;;;;;;;;
;No sentiment percent: 21.6%;;;;No sentiment percent: 24.099999999999998%;;;;;;;;;
;Neutral percent: 0.0%;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Accuracy: 51.800000000000004%;;Spaced lower help 2;;Accuracy: 51.800000000000004%;;Not Spaced lower help 2;;;;;;;
;Wrong percent: 25.5%;;;;Wrong percent: 26.0%;;;;;;;;;
;No sentiment percent: 22.7%;;;;No sentiment percent: 22.2%;;;;;;;;;
;;;;;Right: 518;;;;;;;;;
;;;;;Wrong: 260;;;;;;;;;
;;;;;No sentiment: 222;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Accuracy: 60.099999999999994%;;Spaced Text upper help 0;;Accuracy: 65.8%;;Not Spaced Text-sentiment upper help 0;;;;;;;
;Wrong percent: 1.4000000000000001%;;;;Wrong percent: 1.4000000000000001%;;;;;;;;;
;No sentiment percent: 36.9%;;;;No sentiment percent: 32.800000000000004%;;;;;;;;;
;Neutral percent: 1.6%;;;;;;;;;;;;;
;;;;;Accuracy: 61.3%;;Not Spaced Text-sentiment upper help 1;;;;;;;
;;;;;Wrong percent: 3.8%;;;;;;;;;
;Accuracy: 54.900000000000006%;;Spaced Text-sentiment upper help 1;;No sentiment percent: 34.9%;;;;;;;;;
;Wrong percent: 2.3%;;;;;;;;;;;;;
;No sentiment percent: 42.8%;;;;Accuracy: 41.9%;;Not Spaced Text-sentiment upper help 2;;;;;;;
;;;;;Wrong percent: 21.2%;;;;;;;;;
;;;;;No sentiment percent: 36.9%;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;Accuracy: 67.10000000000001%;;Not Spaced All upper help 0;;;;;;;
;;;;;Wrong percent: 1.4000000000000001%;;;;;;;;;
;;;;;No sentiment percent: 30.7%;;;;;;;;;
;;;;;Neutral percent: 0.8%;;;;;;;;;
;;;;;;;;;;;;;;
;Accuracy: 41.0%;;Spaced All upper help 1;;Accuracy: 39.7%;;Not Spaced All upper help 1;;;;;;;
;Wrong percent: 8.1%;;;;Wrong percent: 8.4%;;;;;;;;;
;No sentiment percent: 34.9%;;;;No sentiment percent: 35.099999999999994%;;;;;;;;;
;Neutral percent: 16.0%;;;;Neutral percent: 16.8%;;;;;;;;;
